FeatureName,Importance
805,0.24337885
492,0.08159568
665,0.07316417
21,0.056608282
61,0.033716377
667,0.030818066
646,0.028865738
305,0.014054846
179,0.013745373
121,0.013576577
602,0.012748093
490,0.012543434
704,0.0124178715
183,0.0123006245
65,0.011367183
708,0.011173299
710,0.010344314
770,0.010083289
412,0.00998796
155,0.008576486
662,0.008265821
782,0.0080918735
174,0.007857239
308,0.0075664986
5,0.0066769854
297,0.00647353
580,0.0061937184
832,0.0060334634
756,0.0056340555
289,0.005583193
176,0.00511886
658,0.005096837
151,0.005076347
687,0.0050727692
341,0.0049068807
188,0.004865996
29,0.004861413
99,0.0048076715
208,0.0045062616
417,0.0043064095
620,0.0041916594
624,0.004051226
46,0.004035162
92,0.0039492096
63,0.0036957664
467,0.0035654644
189,0.0033456348
375,0.0033400103
340,0.0032576534
754,0.0031670772
818,0.0031315254
200,0.0031149967
444,0.0030447303
293,0.0028744938
347,0.0028382258
25,0.0027958818
352,0.002790709
424,0.00279067
135,0.002750971
723,0.0027504987
316,0.0027442724
31,0.0026512544
87,0.0026169007
7,0.00258517
337,0.002580101
133,0.0024864783
648,0.0024310811
816,0.0024291046
177,0.0024267698
281,0.0024217663
797,0.0023465978
295,0.002271883
350,0.0021716708
629,0.0021289715
705,0.0021097031
279,0.0020923053
640,0.0020567025
19,0.0019688911
476,0.0019363745
674,0.0018965916
186,0.0018897266
446,0.001889224
442,0.0018424748
464,0.0018329746
809,0.001820335
307,0.001804483
693,0.0017475256
801,0.001717326
62,0.0016778524
411,0.0015985483
346,0.0015935136
232,0.0015449164
746,0.0014944108
271,0.0014753658
152,0.0014476791
507,0.0014301172
683,0.0013935099
354,0.0013653868
167,0.0013609234
721,0.0013354452
105,0.0013287534
804,0.0011752233
130,0.0011654701
817,0.0010909726
190,0.0010773937
150,0.0010458052
362,0.0010323289
736,0.0010235468
619,0.00096352975
267,0.00093936507
319,0.00093110127
336,0.0009273258
700,0.0009001113
502,0.00089685555
408,0.00082620454
24,0.00080401223
429,0.0008022168
778,0.0008020429
583,0.0007852085
792,0.0007728273
612,0.0007542378
181,0.00073629897
775,0.0007051855
812,0.00069170346
791,0.00068695564
774,0.0006214963
169,0.00060311414
173,0.0005919385
154,0.0005873632
322,0.00054733874
185,0.0005412602
4,0.000532012
